Title,Year,Scopus Source title,Citations,DOI,Journal title,OA model
Retrieval of HCFC-142b (CH3CClF2) from ground-based high-resolution infrared solar spectra: Atmospheric increase since 1989 and comparison with surface and satellite measurements,2017,Journal of Quantitative Spectroscopy and Radiative Transfer,2,10.1016/j.jqsrt.2016.03.017,Journal of Quantitative Spectroscopy and Radiative Transfer,Hybrid
Implementing powered stretcher and load systems was a cost effective intervention to reduce the incidence rates of stretcher related injuries in a paramedic service,2017,Applied Ergonomics,2,10.1016/j.apergo.2017.02.009,Applied Ergonomics,Hybrid
Synergies of media surface roughness and ionic strength on particle deposition during filtration,2017,Water Research,2,10.1016/j.watres.2017.02.010,Water Research,Hybrid
The impact of wind farm location and control strategy on wind generation penetration and market prices,2017,Renewable Energy,2,10.1016/j.renene.2016.12.066,Renewable Energy,Hybrid
Combined experimental and numerical investigation of a vortex dipole interaction with a deformable plate,2017,Journal of Fluids and Structures,2,10.1016/j.jfluidstructs.2017.01.012,Journal of Fluids and Structures,Hybrid
Cooperative survival principles for underground flooding: Vitae System based multi-agent simulation,2017,Expert Systems with Applications,2,10.1016/j.eswa.2017.04.034,Expert Systems With Applications,Hybrid
"What are mixed emotions and what conditions foster them? Life-span experiences, culture and social awareness",2017,Current Opinion in Behavioral Sciences,2,10.1016/j.cobeha.2017.05.001,Current Opinion in Behavioral Sciences,Hybrid
Indigenous – corporate private governance and legitimacy: Lessons learned from impact and benefit agreements,2017,Resources Policy,2,10.1016/j.resourpol.2017.05.002,Resources Policy,Hybrid
Estimation of missing values in a food property database by matrix completion using PCA-based approaches,2017,Chemometrics and Intelligent Laboratory Systems,2,10.1016/j.chemolab.2017.04.008,Chemometrics and Intelligent Laboratory Systems,Hybrid
Silk fibroin films for potential applications in controlled release,2017,Reactive and Functional Polymers,2,10.1016/j.reactfunctpolym.2017.05.007,Reactive and Functional Polymers,Hybrid
Broadband chemical species tomography: Measurement theory and a proof-of-concept emission detection experiment,2017,Journal of Quantitative Spectroscopy and Radiative Transfer,2,10.1016/j.jqsrt.2017.04.030,Journal of Quantitative Spectroscopy and Radiative Transfer,Hybrid
Inverse engineering preferences in simple games,2017,Applied Mathematics and Computation,2,10.1016/j.amc.2017.05.016,Applied Mathematics and Computation,Hybrid
"The role of negative affect and message credibility in perceived effectiveness of smokeless tobacco health warning labels in Navi Mumbai, India and Dhaka, Bangladesh: A moderated-mediation analysis",2017,Addictive Behaviors,2,10.1016/j.addbeh.2017.04.002,Addictive Behaviors,Hybrid
Decision-making in irrigation networks: Selecting appropriate canal structures using multi-attribute decision analysis,2017,Science of the Total Environment,2,10.1016/j.scitotenv.2017.05.189,Science of the Total Environment,Hybrid
