DOI,publisher,is-referenced-by-count,container-title,subject
10.1016/j.disc.2013.03.011,Elsevier BV,1,Discrete Mathematics,
10.1186/1471-2342-14-37,Springer Nature,0,BMC Medical Imaging,
10.1186/s12880-015-0081-0,Springer Nature,3,BMC Medical Imaging,
10.1103/physreva.93.042336,American Physical Society (APS),2,Physical Review A,
10.1017/jfm.2012.552,Cambridge University Press (CUP),2,Journal of Fluid Mechanics,Mechanical Engineering;Mechanics of Materials;Condensed Matter Physics
10.1109/tmi.2016.2587836,Institute of Electrical and Electronics Engineers (IEEE),2,IEEE Transactions on Medical Imaging,
10.1371/journal.pone.0053434,Public Library of Science (PLoS),2,PLoS ONE,
10.5751/es-07943-200416,"Resilience Alliance, Inc.",3,Ecology and Society,
10.2147/opto.s63185,Dove Medical Press Ltd.,0,Clinical Optometry,
10.14232/actacyb.23.1.2017.3,University of Szeged,5,Acta Cybernetica,
10.1145/3077136.3080675,ACM Press,0,Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval  - SIGIR '17,
10.5751/es-09616-220332,"Resilience Alliance, Inc.",1,Ecology and Society,
10.1016/j.jmva.2015.11.005,Elsevier BV,4,Journal of Multivariate Analysis,"Statistics, Probability and Uncertainty;Statistics and Probability;Numerical Analysis"
10.1016/j.proeng.2017.08.107,Elsevier BV,2,Procedia Engineering,
10.3390/su9091610,MDPI AG,2,Sustainability,
10.1111/tops.12247,Wiley,0,Topics in Cognitive Science,
10.1016/j.disc.2015.12.030,Elsevier BV,1,Discrete Mathematics,Theoretical Computer Science;Discrete Mathematics and Combinatorics
10.3389/fncom.2016.00015,Frontiers Media SA,1,Frontiers in Computational Neuroscience,
10.15212/fmch.2015.0138,BMJ,1,Family Medicine and Community Health,"Family Practice;Public Health, Environmental and Occupational Health"
10.1177/1715163515578146,SAGE Publications,1,Canadian Pharmacists Journal / Revue des Pharmaciens du Canada,
10.4310/sii.2014.v7.n2.a9,International Press of Boston,1,Statistics and Its Interface,
10.1051/0004-6361/201730488,EDP Sciences,2,Astronomy & Astrophysics,
10.1007/s00493-014-2967-9,Springer Science and Business Media LLC,0,Combinatorica,Discrete Mathematics and Combinatorics;Computational Mathematics
10.1002/cjs.11252,Wiley,1,Canadian Journal of Statistics,
10.1371/journal.pone.0105537,Public Library of Science (PLoS),0,PLoS ONE,
10.3762/bjoc.12.25,Beilstein Institut,2,Beilstein Journal of Organic Chemistry,
10.17269/cjph.107.5238,Springer Nature,0,Canadian Journal of Public Health,
10.1073/pnas.1700736114,Proceedings of the National Academy of Sciences,1,Proceedings of the National Academy of Sciences,
10.1186/s12951-015-0125-1,Springer Nature,4,Journal of Nanobiotechnology,
10.1088/1742-6596/753/7/072007,IOP Publishing,1,Journal of Physics: Conference Series,
10.1007/s00198-016-3507-9,Springer Science and Business Media LLC,1,Osteoporosis International,"Endocrinology, Diabetes and Metabolism"
10.3791/53907,MyJove Corporation,0,Journal of Visualized Experiments,
10.1136/bmjopen-2015-009207,BMJ,1,BMJ Open,
10.4155/fso.15.15,Future Science Ltd,0,Future Science OA,
10.3390/rs8040278,MDPI AG,2,Remote Sensing,
10.1016/j.jctb.2015.08.003,Elsevier BV,2,"Journal of Combinatorial Theory, Series B",Theoretical Computer Science;Computational Theory and Mathematics;Discrete Mathematics and Combinatorics
10.1145/3072959.3073628,Association for Computing Machinery (ACM),4,ACM Transactions on Graphics,
10.1007/s00253-014-6179-4,Springer Science and Business Media LLC,1,Applied Microbiology and Biotechnology,Biotechnology;Applied Microbiology and Biotechnology;General Medicine
10.1088/2058-9565/1/1/015003,IOP Publishing,1,Quantum Science and Technology,
10.1016/j.exer.2012.11.003,Elsevier BV,5,Experimental Eye Research,Ophthalmology;Sensory Systems;Cellular and Molecular Neuroscience
10.5271/sjweh.3494,"Scandinavian Journal of Work, Environment and Health",2,"Scandinavian Journal of Work, Environment & Health",
10.3945/jn.117.257386,Oxford University Press (OUP),2,The Journal of Nutrition,
10.3390/mi8110326,MDPI AG,1,Micromachines,
